id,zones,tourist_season,id_month,facility,unique_facility,district,number_units,number_beds,month,year,number_countries,number_nights,Permanent_PAX,Permanent_nights,Kenya_PAX,Kenya_Nights,Uganda_PAX,Uganda_Nights,Tanzania_PAX,Tanzania_Nights,NorthAfrica_PAX,NorthAfrica_Nights,CentralEastAfrica_PAX,CentralEastAfrica_Nights,WestAfrica_PAX,WestAfrica_Nights,SouthAfrica_PAX,SouthAfrica_Nights,OtherAfrica_PAX,OtherAfrica_Nights,UnitedKingdom_PAX,UnitedKingdom_Nights,German_PAX,German_Nights,France_PAX,France_Nights,Italy_PAX,Italy_Nights,Switzerland_PAX,Switzerland_Nights,Scandinavia_PAX,Scandinavia_Nights,OtherEurope_PAX,OtherEurope_Nights,USA_PAX,USA_Nights,Canada_PAX,Canada_NIGHTS,OtherAmerica_PAX,OtherAmerica_Nights,Japan_PAX,Japan_Nights,India_PAX,India_Nights,MiddleEast_PAX,MiddleEast_Nights,China_PAX,China_nights,OtherAsia_PAX,OtherAsia_Nights,entries_nights,entries_PAX,AustraliaNewZealand_PAX,AustraliaNewZealand_nights,othercountries_PAX,othercountries_nights,beds_occupied,beds_capacity,units_occupied,units_capacity,one_rate,two_rate,three_rate,other_rate,type_catering,singe_fb,singe_hb,singe_bb,single_other,double_fb,double_hb,double_bb,double_other,other_fb,other_hb,other_bb,other_other,male_citizen,male_noncitizen,female_citizen,female_noncitizen,salary_wages,salary_wages_2009,total_revenue,gross_income,intermediate_consumption,intermediate_consumption_2009,diffMonth,total_PAX,total_nights
412025.0,1.0,2.0,4.0,2.0,1.0,MSAMBWENI,4.0,4.0,4.0,2010.0,1.0,1.0,,,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,120.0,16.0,120.0,,,,206000.0,2.0,,,,,,,,,,,,,3.0,,1.0,,40000.0,480000.0,50000.0,600000.0,66900.0,802800.0,,8.0,4.0
411001.0,1.0,1.0,1.0,1.0,1.0,KWALE,10.0,20.0,1.0,2010.0,,,,,3.0,1.0,,,,,,,,,,,,,,,6.0,3.0,8.0,3.0,,,,,,,,,30.0,3.0,,,,,,,,,,,,,,,,,,,,,,,135.0,620.0,68.0,310.0,7000.0,,,,2.0,,,,,,,,,,,,,25.0,,15.0,,190000.0,2280000.0,250000.0,2316000.0,40000.0,600000.0,,47.0,10.0
411001.0,1.0,1.0,2.0,1.0,,KWALE,10.0,20.0,2.0,2010.0,4.0,4.0,,,,,,,,,,,,,,,,,,,8.0,3.0,12.0,2.0,,,,,,,2.0,6.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,66.0,560.0,33.0,280.0,7000.0,,,,2.0,,,,,,,,,,,,,25.0,,15.0,,190000.0,2280000.0,198000.0,2376000.0,75000.0,600000.0,,28.0,13.0
411001.0,1.0,1.0,3.0,1.0,,KWALE,10.0,20.0,3.0,2010.0,2.0,2.0,,,,,,,,,,,,,,,,,,,4.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,620.0,12.0,310.0,7000.0,,,,2.0,,,,,,,,,,,,,25.0,,15.0,,190000.0,2280000.0,72000.0,2316000.0,75000.0,600000.0,,8.0,6.0
411001.0,1.0,2.0,6.0,1.0,,KWALE,10.0,20.0,6.0,2010.0,4.0,4.0,,,10.0,2.0,,,,,,,,,,,,,,,15.0,2.0,10.0,2.0,,,,,,,,,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,90.0,600.0,45.0,300.0,7000.0,,,,2.0,,,,,,,,,,,,,25.0,,15.0,,190000.0,2280000.0,250000.0,2316000.0,40000.0,600000.0,,55.0,7.0
411004.0,1.0,1.0,1.0,1.0,1.0,KWALE,2.0,4.0,1.0,2010.0,6.0,6.0,,,1.0,2.0,,,,,,,,,,,,,,,6.0,4.0,11.0,4.0,,,4.0,8.0,4.0,4.0,,,14.0,126.0,,,,,,,,,,,,,,,,,,,,,,,40.0,124.0,20.0,62.0,17500.0,,,,1.0,,,,,17500.0,,,,,,,,10.0,,,,94993.0,997864.0,686320.0,4578655.0,318610.0,2929571.0,,40.0,148.0
411004.0,1.0,1.0,2.0,1.0,,KWALE,2.0,4.0,2.0,2010.0,6.0,6.0,,,2.0,4.0,,,,,,,,,,,,,,,,,15.0,8.0,,,17.0,8.0,2.0,1.0,2.0,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,43.0,112.0,17.0,56.0,17500.0,,,,1.0,,,,,17500.0,,,,,,,,10.0,,,,94993.0,997864.0,1086000.0,4578655.0,323896.0,2929571.0,,43.0,24.0
411004.0,1.0,1.0,3.0,1.0,,KWALE,2.0,4.0,3.0,2010.0,8.0,8.0,,,2.0,1.0,,,,,,,1.0,2.0,,,,,,,,,17.0,8.0,,,2.0,1.0,,,10.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,37.0,124.0,18.0,62.0,17500.0,,,,1.0,,,,,17500.0,,,,,,,,10.0,,,,91668.0,997864.0,341000.0,4578655.0,336110.0,2929571.0,,36.0,17.0
411004.0,1.0,2.0,4.0,1.0,,KWALE,2.0,4.0,4.0,2010.0,3.0,3.0,,,,,,,,,,,,,,,,,,,2.0,9.0,4.0,12.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,120.0,34.0,60.0,17500.0,,,,1.0,,,,,17500.0,,,,,,,,9.0,,,,86418.0,997864.0,263500.0,4578655.0,240229.0,2929571.0,,8.0,22.0
411004.0,1.0,2.0,5.0,1.0,,KWALE,2.0,4.0,5.0,2010.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,124.0,8.0,62.0,17500.0,,,,1.0,,,,,17500.0,,,,,,,,9.0,,,,86418.0,997864.0,96375.0,4578655.0,288637.0,2929571.0,,4.0,4.0
411004.0,1.0,2.0,6.0,1.0,,KWALE,2.0,4.0,6.0,2010.0,4.0,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,,5.0,4.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,120.0,15.0,60.0,17500.0,,,,1.0,,,,,17500.0,,,,,,,,9.0,,,,86418.0,997864.0,82500.0,4578655.0,158504.0,2929571.0,,10.0,9.0
411005.0,1.0,1.0,1.0,1.0,1.0,KWALE,40.0,40.0,1.0,2010.0,2.0,2.0,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1200.0,10.0,1200.0,10000.0,,,,2.0,,,,,,,,,,,,,6.0,,4.0,,200000.0,2400000.0,460000.0,5520000.0,30000.0,360000.0,,3.0,6.0
411005.0,1.0,1.0,2.0,1.0,,KWALE,40.0,40.0,2.0,2010.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,1200.0,45.0,1200.0,10000.0,,,,2.0,,,,,,,,,,,,,6.0,,4.0,,200000.0,2400000.0,150000.0,5520000.0,30000.0,360000.0,,3.0,15.0
411005.0,1.0,1.0,3.0,1.0,,KWALE,40.0,40.0,3.0,2010.0,2.0,2.0,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,10.0,1200.0,10.0,1200.0,10000.0,,,,2.0,,,,,,,,,,,,,6.0,,4.0,,200000.0,2400000.0,460000.0,5520000.0,28000.0,360000.0,,3.0,6.0
411005.0,1.0,2.0,4.0,1.0,,KWALE,40.0,40.0,4.0,2010.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,1200.0,64.0,1200.0,10000.0,,,,2.0,,,,,,,,,,,,,6.0,,4.0,,200000.0,2400000.0,460000.0,5520000.0,,360000.0,,,
411005.0,1.0,2.0,5.0,1.0,,KWALE,40.0,40.0,5.0,2010.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,1240.0,20.0,1240.0,10000.0,,,,2.0,,,,,,,,,,,,,6.0,,4.0,,200000.0,2400000.0,130000.0,5520000.0,20000.0,360000.0,,2.0,10.0
411006.0,1.0,1.0,1.0,1.0,1.0,KWALE,7.0,12.0,1.0,2010.0,3.0,3.0,,,,,,,,,,,,,,,,,,,4.0,12.0,,,,,1.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,372.0,33.0,257.0,2500.0,4500.0,,,2.0,,,,,,,,,,,,,7.0,,2.0,,67500.0,1054200.0,30000.0,480000.0,,,,7.0,18.0
411006.0,1.0,1.0,2.0,1.0,,KWALE,7.0,12.0,2.0,2010.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,,,,,,,3.0,35.0,,,,,,,,,,,,,,,,,,,,,,,137.0,372.0,80.0,257.0,2500.0,4500.0,,,2.0,,,,,,,,,,,,,,,,,67500.0,1054200.0,19500.0,480000.0,,,,7.0,43.0
411006.0,1.0,1.0,3.0,1.0,,KWALE,7.0,12.0,3.0,2010.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,40.0,,,,,,,,,,,,,,,,,,,,,,,160.0,372.0,93.0,257.0,2500.0,4500.0,,,2.0,,,,,,,,,,,,,,,,,67500.0,1054200.0,45000.0,480000.0,,,,4.0,40.0
411006.0,1.0,2.0,4.0,1.0,,KWALE,7.0,12.0,4.0,2010.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,6.0,7.0,,,,,,,,,,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,54.0,372.0,32.0,257.0,2500.0,4500.0,,,2.0,,,,,,,,,,,,,,,,,67500.0,1054000.0,71500.0,480000.0,,,,8.0,13.0
411007.0,1.0,1.0,1.0,1.0,1.0,KWALE,24.0,116.0,1.0,2010.0,1.0,1.0,,,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2932.0,3596.0,403.0,744.0,15000.0,16500.0,18000.0,21000.0,3.0,3500.0,2000.0,450.0,,,,,,,,,,13.0,1.0,7.0,,512739.0,5909138.0,1545604.91,15704453.94,970018.0,8415082.0,,522.0,
411007.0,1.0,1.0,2.0,1.0,,KWALE,24.0,116.0,2.0,2010.0,1.0,1.0,336.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680.0,3248.0,336.0,672.0,15000.0,16500.0,18000.0,21000.0,3.0,3500.0,2000.0,350.0,,,,,,,,,,13.0,1.0,7.0,,488602.0,5909138.0,1617893.72,15704453.94,665821.0,8415082.0,,336.0,5.0
411007.0,1.0,1.0,3.0,1.0,,KWALE,24.0,116.0,3.0,2010.0,1.0,1.0,,,336.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680.0,3596.0,336.0,744.0,15000.0,16500.0,18000.0,21000.0,3.0,3500.0,2000.0,450.0,,,,,,,,,,13.0,1.0,7.0,,497903.0,5909138.0,1213474.61,15704453.94,585874.0,8415082.0,,336.0,5.0
